Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,powell20150218a.pdf,2015-02-18,"Financial Institutions, Financial Markets, and Financial Stability",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Stern School of Business New York University,"New York, New York",0,0,0
Testimony,yellen20150224a.pdf,2015-02-24,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,fischer20150227a.pdf,2015-02-27,Conducting Monetary Policy with a Large Balance Sheet,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,2015 U.S. Monetary Policy Forum Sponsored by the University of Chicago Booth School of Business,"New York, New York",0,0,0
Speech,yellen20150303a.pdf,2015-03-03,Improving the Oversight of Large Financial Institutions,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Citizens Budget Commission,"New York, New York",0,0,0
Testimony,tarullo20150319a.pdf,2015-03-19,Application of Enhanced Prudential Standards to Bank Holding Companies,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,fischer20150323a.pdf,2015-03-23,Monetary Policy Lessons and the Way Ahead,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Economic Club of New York,"New York, New York",0,0,0
Speech,fischer20150327a.pdf,2015-03-27,The Importance of the Nonbank Financial Sector,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Debt and Financial Stability--Regulatory Challenges” sponsored by the Bundesbank and the German Ministry of Finance,"Frankfurt, Germany",0,0,0
Speech,yellen20150327a.pdf,2015-03-27,Normalizing Monetary Policy: Prospects and Perspectives,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"""The New Normal Monetary Policy,"" a research conference sponsored by the Federal Reserve Bank of San Francisco","San Francisco, California",0,0,0
Speech,fischer20150330a.pdf,2015-03-30,"Nonbank Financial Intermediation, Financial Stability, and the Road Forward",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Central Banking in the Shadows: Monetary Policy and Financial Stability Postcrisis” 20th Annual Financial Markets Conference sponsored by the Federal Reserve Bank of Atlanta,"Stone Mountain, Georgia",0,0,0
Speech,brainard20150402a.pdf,2015-04-02,Coming of Age in the Great Recession,Lael Brainard,Member Board of Governors of the Federal Reserve System,"“Economic Mobility: Research and Ideas on Strengthening Families, Communities, and the Economy” Ninth Biennial Federal Reserve System Community Development Research Conference","Washington, D.C.",0,0,0
Speech,yellen20150402.pdf,2015-04-02,Chair Yellen's remarks at a community development research conference sponsored by the Federal Reserve System,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Economic Mobility: Research and Ideas on Strengthening Families, Communities, and the Economy,” a community development research conference sponsored by the Federal Reserve System","Washington, D.C.",0,0,0
Speech,powell20150408a.pdf,2015-04-08,Remarks on Monetary Policy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,C. Peter McColough Series on International Economics Council on Foreign Relations,"New York, New York",0,0,0
Testimony,hunter20150423a.pdf,2015-04-23,Community Bank Regulations,Maryann F. Hunter,"Deputy Director, Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System",0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,vanderweide20150428a.pdf,2015-04-28,Insurance Regulation,Mark E. Van Der Weide,"Deputy Director, Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System",0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,tarullo20150430a.pdf,2015-04-30,Tailoring Community Bank Regulation and Supervision,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Independent Community Bankers of America 2015 Washington Policy Summit,"Washington, D.C.",0,0,0
Speech,tarullo0504a.pdf,2015-05-04,"Tarullo, Opening Remarks at the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting",Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting,"Boston, Massachusetts",0,0,0
Speech,yellen20150506a.pdf,2015-05-06,Finance and Society,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Finance and Society,” a conference sponsored by Institute for New Economic Thinking","Washington, D.C.",0,0,0
Speech,powell20150514a.pdf,2015-05-14,Regulation and Supervision of Community Banks,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Annual Community Bankers Conference sponsored by the Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,fischer20150521a.pdf,2015-05-21,"Past, Present, and Future Challenges for the Euro Area",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Inflation and Unemployment in Europe”,"Sintra, Portugal",0,0,0
Speech,yellen20150522a.pdf,2015-05-22,The Outlook for the Economy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Providence Chamber of Commerce,"Providence, Rhode Island",0,0,0
Speech,fischer20150526a.pdf,2015-05-26,The Federal Reserve and the Global Economy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"conference held in honor of Professor Haim Ben-Shahar, former president of Tel Aviv University, Tel Aviv University","Tel Aviv, Israel",0,0,0
Speech,fischer20150601a.pdf,2015-06-01,What have we learned from the crises of the last 20 years?,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,International Monetary Conference,"Toronto, Ontario",0,0,0
Speech,brainard20150602a.pdf,2015-06-02,The U.S. Economic Outlook and Implications for Monetary Policy,Lael Brainard,Member Board of Governors of the Federal Reserve System,Center for Strategic and International Studies,"Washington, D.C.",0,0,0
Speech,fischer20150624a.pdf,2015-06-24,Supervisory Stress Testing of Large Systemic Financial Institutions,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Riksbank Macroprudential Conference,"Stockholm, Sweden",0,0,0
Speech,powell20150625a.pdf,2015-06-25,Building a Safer Payment System,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Conference The Puzzle of Payments Security: Fitting the Pieces Together to Protect the Retail Payments System,"Kansas City, Missouri",0,0,0
Speech,fischer20150630a.pdf,2015-06-30,Monetary Policy in the United States and in Developing Countries,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Crockett Governors’ Roundtable 2015 for African Central Bankers University of Oxford,"Oxford, England",0,0,0
Speech,brainard20150701a.pdf,2015-07-01,Recent Changes in the Resilience of Market Liquidity,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Policy Makers’ Panel on Financial Intermediation: Complexities and Risks for “The Future of Financial Intermediation: Banking, Securities Markets, or Something New?” Salzburg Global Forum on Finance in a Changing World Salzburg Global Seminar","Salzburg, Austria",0,0,0
Speech,brainard20150709a.pdf,2015-07-09,Dodd-Frank at Five: Assessing Progress on Too Big to Fail,Lael Brainard,Member Board of Governors of the Federal Reserve System,Bipartisan Policy Center and Managed Funds Association,"Washington, D.C.",0,0,0
Speech,yellen20150710a.pdf,2015-07-10,Recent Developments and the Outlook for the Economy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,City Club of Cleveland,"Cleveland, Ohio",0,0,0
Testimony,yellen20150715a.pdf,2015-07-15,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20150803a.pdf,2015-08-03,Structure and Liquidity in Treasury Markets,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,The Brookings Institution,"Washington, D.C.",0,0,0
Speech,fischer20150829a.pdf,2015-08-29,U.S. Inflation Developments,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Economic Symposium,"Jackson Hole, Wyoming",0,0,0
Speech,yellen20150924a.pdf,2015-09-24,Inflation Dynamics and Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"Philip Gamble Memorial Lecture, University of Massachusetts","Amherst, Massachusetts",0,0,0
Speech,tarullo20150928a.pdf,2015-09-28,Capital Regulation Across Financial Intermediaries,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Banque de France Conference: Financial Regulation--Stability versus Uniformity; A Focus on Non-bank Actors,"Paris, France",0,0,0
Testimony,sullivan20150929a.pdf,2015-09-29,Insurance Regulation,Thomas Sullivan,Associate Director Board of Governors of the Federal Reserve System,0,0,Subcommittee on Housing and Insurance,Committee on Financial Services,U.S. House of Representatives
Speech,brainard20150930a.pdf,2015-09-30,"Community Banks, Small Business Credit, and Online Lending",Lael Brainard,Member Board of Governors of the Federal Reserve System,“Community Banking in the 21st Century” The Third Annual Community Banking Research and Policy Conference Cosponsored by the Federal Reserve System and Conference of State Bank Supervisors,"St. Louis, Missouri",0,0,0
Speech,yellen20150930a.pdf,2015-09-30,Welcoming Remarks by Chair Janet L. Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Community Banking in the 21st Century The Third Annual Community Banking Research and Policy Conference Cosponsored by the Federal Reserve System and Conference of State Bank Supervisors,"St. Louis, Missouri",0,0,0
Speech,fischer20151002a.pdf,2015-10-02,Macroprudential Policy in the U.S. Economy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Macroprudential Monetary Policy” 59th Economic Conference of the Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,fischer20151011a.pdf,2015-10-11,U.S. Economy and Monetary Policy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Group of Thirty International Banking Seminar,"Lima, Peru",0,0,0
Speech,brainard20151012a.pdf,2015-10-12,Economic Outlook and Monetary Policy,Lael Brainard,Member Board of Governors of the Federal Reserve System,“North America’s Place in a Changing World Economy” 57th National Association for Business Economics Annual Meeting,"Washington, D.C.",0,0,0
Speech,brainard20151019a.pdf,2015-10-19,Identifying Opportunities for Reducing Regulatory Burdens on Community Banks,Lael Brainard,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago,"Chicago, Illinois",0,0,0
Speech,powell20151020a.pdf,2015-10-20,The Evolving Structure of U.S. Treasury Markets,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,yellen20151020a.pdf,2015-10-20,Brief Remarks by Chair Janet L. Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Induction of Carroll D. Wright and Janet L. Norwood into the Department of Labor’s Hall of Honor U.S. Department of Labor,"Washington, D.C.",0,0,0
Testimony,yellen20151104a.pdf,2015-11-04,Supervision and Regulation,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,fischer20151104a.pdf,2015-11-04,Central Bank Independence,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,2015 Herbert Stein Memorial Lecture National Economists Club,"Washington, D.C.",0,0,0
Speech,tarullo20151105a.pdf,2015-11-05,Shared Responsibility for the Regulation of International Banks,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Sponsored by the Federal Reserve Bank of Chicago and the World Bank,"Chicago, Illinois",0,0,0
Speech,brainard20151106a.pdf,2015-11-06,Unconventional Monetary Policy and Cross-Border Spillovers,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Unconventional Monetary and Exchange Rate Policies” 16th Jacques Polak Annual Research Conference sponsored by the International Monetary Fund,"Washington, D.C.",0,0,0
Speech,fischer20151112a.pdf,2015-11-12,The Transmission of Exchange Rate Changes to Output and Inflation,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“Monetary Policy Implementation and Transmission in the Post-Crisis Period,” a conference sponsored by the Board of Governors of the Federal Reserve System","Washington, D.C.",0,0,0
Speech,yellen20151112a.pdf,2015-11-12,Welcoming Remarks by Chair Janet L. Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Monetary Policy Implementation and Transmission in the Post-Crisis Period,” a research conference sponsored by the Board of Governors of the Federal Reserve System","Washington, D.C.",0,0,0
Speech,powell20151117a.pdf,2015-11-17,Central Clearing in an Interdependent World,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Clearing House Annual Conference,"New York, New York",0,0,0
Speech,tarullo20151117a.pdf,2015-11-17,Thinking Critically about Nonbank Financial Intermediation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Brookings Institution,"Washington, D.C.",0,0,0
Speech,fischer20151119a.pdf,2015-11-19,Emerging Asia in Transition,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"""Policy Challenges in a Diverging Global Economy"" 2015 Asia Economic Policy Conference sponsored by the Federal Reserve Bank of San Francisco","San Francisco, California",0,0,0
Speech,powell20151120a.pdf,2015-11-20,Opening remarks by Governor Powell at the 2015 Roundtable on Treasury Markets and Debt Management,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,The Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,brainard20151201a.pdf,2015-12-01,Normalizing Monetary Policy When the Neutral Interest Rate Is Low,Lael Brainard,Member Board of Governors of the Federal Reserve System,Stanford Institute for Economic Policy Research,"Stanford, California",0,0,0
Speech,tarullo20151202a.pdf,2015-12-02,Opening Remarks by Governor Tarullo,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting,"Arlington, Virginia",0,0,0
Speech,yellen20151202a.pdf,2015-12-02,The Economic Outlook and Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Economic Club of Washington,"Washington, D.C.",0,0,0
Testimony,yellen20151203a.pdf,2015-12-03,Economic Outlook,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,fischer20151203a.pdf,2015-12-03,Financial Stability and Shadow Banks: What We Don’t Know Could Hurt Us,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Financial Stability: Policy Analysis and Data Needs” 2015 Financial Stability Conference sponsored by the Federal Reserve Bank of Cleveland and the Office of Financial Research,"Washington, D.C.",0,0,0
Speech,fischer20160103a.pdf,2016-01-03,"Monetary Policy, Financial Stability, and the Zero Lower Bound",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Annual Meeting of the American Economic Association,"San Francisco, California",0,0,0
Speech,fischer20160201a.pdf,2016-02-01,Recent Monetary Policy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,C. Peter McColough Series on International Economics Council on Foreign Relations,"New York, New York",0,0,0
Testimony,yellen20160210a.pdf,2016-02-10,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,fischer20160210a.pdf,2016-02-10,The Lender of Last Resort Function in the United States,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"""The Lender of Last Resort: An International Perspective,"" a conference sponsored by the Committee on Capital Markets Regulation","Washington, D.C.",0,0,0
Speech,fischer20160223a.pdf,2016-02-23,Recent Monetary Policy Developments,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Energy Transition: Strategies for a New World” 35th Annual IHS CERAWeek,"Houston, Texas",0,0,0
Speech,brainard20160226a.pdf,2016-02-26,What Happened to the Great Divergence?,Lael Brainard,Member Board of Governors of the Federal Reserve System,“2016 Monetary Policy Forum” An annual conference sponsored by University of Chicago Booth School of Business,"New York, New York",0,0,0
Speech,powell20160226a.pdf,2016-02-26,Discussion of the paper “Language after Liftoff: Fed Communication Away from the Zero Lower Bound”,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,“2016 U.S. Monetary Policy Forum” An annual conference sponsored by University of Chicago Booth School of Business,"New York, New York",0,0,0
Speech,brainard20160307a.pdf,2016-03-07,"An Update on the Outlook, Liquidity, and Resilience",Lael Brainard,Member Board of Governors of the Federal Reserve System,Institute of International Bankers Annual Washington Conference,"Washington, D.C.",0,0,0
Speech,fischer20160307a.pdf,2016-03-07,Reflections on Macroeconomics Then and Now,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Policy Challenges in an Interconnected World” 32nd Annual National Association for Business Economics Economic Policy Conference,"Washington, D.C.",0,0,0
Speech,Yellen20160329a.pdf,2016-03-29,"The Outlook, Uncertainty, and Monetary Policy",Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Economic Club of New York,"New York, New York",0,0,0
Testimony,powell20160414a.pdf,2016-04-14,Trends in Fixed-Income Markets,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,brainard20160414a.pdf,2016-04-14,"The Use of Distributed Ledger Technologies in Payment, Clearing, and Settlement",Lael Brainard,Member Board of Governors of the Federal Reserve System,Institute of International Finance Blockchain Roundtable,"Washington, D.C.",0,0,0
Speech,fischer20160519a.pdf,2016-05-19,"Money, Interest and Prices",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“A Conference in Honor of Michael Woodford’s Contributions to Economics” cosponsored by the Federal Reserve Bank of New York, Columbia University Program for Economic Research, and Columbia University Department of Economics","New York, New York",0,0,0
Speech,tarullo20160520a.pdf,2016-05-20,Insurance Companies and the Role of the Federal Reserve,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,National Association of Insurance Commissioner’s International Insurance Forum,"Washington, D.C.",0,0,0
Speech,powell20160526a.pdf,2016-05-26,"Recent Economic Developments, the Productive Potential of the Economy, and Monetary Policy",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Peterson Institute for International Economics,"Washington, D.C.",0,0,0
Speech,brainard20160603a.pdf,2016-06-03,The Economic Outlook and Implications for Monetary Policy,Lael Brainard,Member Board of Governors of the Federal Reserve System,Council of Foreign Relations,"Washington, D.C.",0,0,0
Speech,yellen20160606a.pdf,2016-06-06,Current Conditions and the Outlook for the U.S. Economy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,World Affairs Council of Philadelphia,"Philadelphia, Pennsylvania",0,0,0
Testimony,yellen20160621a.pdf,2016-06-21,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20160621a.pdf,2016-06-21,Introductory Comments,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Roundtable on the Interim Report of the Alternative Reference Rates Committee sponsored by the Federal Reserve Board and the Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,fischer20160622a.pdf,2016-06-22,Comments on the Resolution Framework for Banks and Bank Holding Companies in the United States,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Panel Discussion on Resolution Riksbank Macroprudential Conference,"Stockholm, Sweden",0,0,0
Speech,powell20160628a.pdf,2016-06-28,"Recent Economic Developments, Monetary Policy Considerations and Longer-term Prospects",Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Chicago Council on Global Affairs,"Chicago, Illinois",0,0,0
Speech,tarullo20160712a.pdf,2016-07-12,Opening Remarks by Governor Tarullo,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Center for American Progress and Americans for Financial Reform Conference Exploring Shadow Banking: Can the Nation Avoid the Next Crisis?,"Washington, D.C.",0,0,0
Speech,fischer20160821a.pdf,2016-08-21,Speech by Vice Chairman Stanley Fischer: Remarks on the U.S. Economy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Program on the World Economy” a conference sponsored by The Aspen Institute,"Aspen, Colorado",0,0,0
Speech,yellen20160826a.pdf,2016-08-26,"The Federal Reserveís Monetary Policy Toolkit: Past, Present, and Future",Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"""Designing Resilient Monetary Policy Frameworks for the Future,"" a symposium sponsored by the Federal Reserve Bank of Kansas City","Jackson Hole, Wyoming",0,0,0
Speech,brainard20160912a.pdf,2016-09-12,The “New Normal” and What It Means for Monetary Policy,Lael Brainard,Member Board of Governors of the Federal Reserve System,The Chicago Council on Global Affairs,"Chicago, Illinois",0,0,0
Speech,tarullo20160926a.pdf,2016-09-26,Next Steps in the Evolution of Stress Testing,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Yale University School of Management Leaders Forum Yale University,"New Haven, Connecticut",0,0,0
Speech,fischer20160927a.pdf,2016-09-27,Why Study Economics?,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"Convocation Department of Economics, Howard University","Washington, D.C.",0,0,0
Testimony,sullivan20160928a.pdf,2016-09-28,Insurance Regulation,Thomas Sullivan,Associate Director Board of Governors of the Federal Reserve System,0,0,Subcommittee on Housing and Insurance,Committee on Financial Services,U.S. House of Representatives
Testimony,yellen20160928a.pdf,2016-09-28,Supervision and Regulation,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,powell20160929a.pdf,2016-09-29,Trends in Community Bank Performance over the Past 20 Years,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"“Community Banking in the 21st Century” Fourth Annual Community Banking Research and Policy Conference, sponsored by the Federal Reserve System and the Conference of State Bank Supervisors","St. Louis, Missouri",0,0,0
Speech,yellen20160929a.pdf,2016-09-29,A Conversation with Federal Reserve Chair Janet Yellen (via videoconference),Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,"“Banking and the Economy: A Forum for Minority Bankers” Sponsored by the Federal Reserve Bank of Kansas City Kansas City, Missouri","Kansas City, Missouri",0,0,0
Speech,fischer20161005a.pdf,2016-10-05,Low Interest Rates,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"40th Annual Central Banking Seminar, sponsored by the Federal Reserve Bank of New York","New York, New York",0,0,0
Speech,brainard20161007a.pdf,2016-10-07,"Distributed Ledger Technology: Implications for Payments, Clearing, and Settlement",Lael Brainard,Member Board of Governors of the Federal Reserve System,Institute of International Finance Annual Meeting Panel on Blockchain,"Washington, D.C.",0,0,0
Speech,fischer20161009a.pdf,2016-10-09,The U.S. Economy and Monetary Policy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,31st Annual Group of Thirty International Banking Seminar,"Washington, D.C.",0,0,0
Speech,yellen20161014a.pdf,2016-10-14,Macroeconomic Research After the Crisis,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,60th annual economic conference sponsored by the Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,fischer20161017a.pdf,2016-10-17,Why Are Interest Rates So Low? Causes and Implications,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Economic Club of New York,"New York, New York",0,0,0
Speech,tarullo20161021a.pdf,2016-10-21,Pedagogy and Scholarship in a Post-Crisis World,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Conference on the New Pedagogy of Financial Regulation Columbia Law School,"New York, New York",0,0,0
Speech,powell20161024a.pdf,2016-10-24,Speech by Governor Powell on government securities settlement,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,The Federal Reserve Bank of New York,"New York, New York",0,0,0
Speech,fischer20161104a.pdf,2016-11-04,Speech by Vice Chairman Fischer on policy challenges after the Great Recession,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“Macroeconomics after the Great Recession” 17th Jacques Polak Annual Research Conference, sponsored by the International Monetary Fund","Washington, D.C.",0,0,0
Speech,fischer20161111a.pdf,2016-11-11,U.S. Monetary Policy from an International Perspective,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,20th Annual Conference of the Central Bank of Chile,"Santiago, Chile",0,0,0
Speech,fischer20161115a.pdf,2016-11-15,Is There a Liquidity Problem Post-Crisis?,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,“Do We Have a Liquidity Problem Post-Crisis?” a conference sponsored by the Initiative on Business and Public Policy at the Brookings Institution,"Washington, D.C.",0,0,0
Testimony,yellen20161117a.pdf,2016-11-17,The Economic Outlook,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,brainard20161117a.pdf,2016-11-17,The “Gig” Economy: Implications of the Growth of Contingent Work,Lael Brainard,Member Board of Governors of the Federal Reserve System,"Robles, Barbara J., and Marysol McGee (2016). Exploring Online and Offline Informal Work: Findings from the Enterprising and Informal Work Activities (EIWA) Survey","New York, New York",0,0,0
Speech,powell20161118a.pdf,2016-11-18,The Global Trade Slowdown and Its Implications for Emerging Asia,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"“CPBS 2016 Pacific Basin Research Conference,” sponsored by the Center for Pacific Basin Studies at the Federal Reserve Bank of San Francisco","San Francisco, California",0,0,0
Speech,fischer20161121a.pdf,2016-11-21,Longer-Term Challenges for the U.S. Economy,Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,"“A Conversation with Stanley Fischer,” sponsored by the Council on Foreign Relations","New York, New York",0,0,0
Speech,powell20161129a.pdf,2016-11-29,Recent Economic Developments and Longer-Run Challenges,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,The Economic Club of Indiana,"Indianapolis, Indiana",0,0,0
Speech,powell20161130a.pdf,2016-11-30,A View from the Fed,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,"“Understanding Fedspeak,” an event cosponsored by the Hutchins Center on Fiscal and Monetary Policy at the Brookings Institution and the Center for Financial Economics at Johns Hopkins University","Washington, D.C.",0,0,0
Speech,brainard20161202a.pdf,2016-12-02,The Opportunities and Challenges of Fintech,Lael Brainard,Member Board of Governors of the Federal Reserve System,Conference on Financial Innovation at the Board of Governors of the Federal Reserve System,"Washington, D.C.",0,0,0
Speech,tarullo20161202a.pdf,2016-12-02,Financial Regulation Since the Crisis,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Cleveland and Office of Financial Research 2016 Financial Stability Conference,"Washington, D.C.",0,0,0
Speech,yellen20161219a.pdf,2016-12-19,Commencement Remarks at University of Baltimore,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,University of Baltimore 2016 Midyear Commencement,"Baltimore, Maryland",0,0,0
Speech,powell20170107a.pdf,2017-01-07,Low Interest Rates and the Financial System,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,77th Annual Meeting of the American Finance Association,"Chicago, Illinois",0,0,0
Speech,yellen20170112a.pdf,2017-01-12,Welcoming Remarks by Chair Yellen,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Conversation with the Chair: A Teacher Town Hall Meeting,"Washington, D.C.",0,0,0
Speech,brainard20170117a.pdf,2017-01-17,Monetary Policy in a Time of Uncertainty,Lael Brainard,Member Board of Governors of the Federal Reserve System,The Brookings Institution,"Washington, D.C.",0,0,0
Speech,yellen20170118a.pdf,2017-01-18,The Goals of Monetary Policy and How We Pursue Them,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Commonwealth Club,"San Francisco, California",0,0,0
Speech,yellen20170119a.pdf,2017-01-19,The Economic Outlook and the Conduct of Monetary Policy,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,Stanford Institute for Economic Policy Research Stanford University,"Stanford, California",0,0,0
Speech,fischer20170211a.pdf,2017-02-11,"“I’d Rather Have Bob Solow Than an Econometric Model, But . . .”",Stanley Fischer,Vice Chair Board of Governors of the Federal Reserve System,Warwick Economics Summit,"Coventry, United Kingdom",0,0,0
Testimony,yellen20170214a.pdf,2017-02-14,Semiannual Monetary Policy Report to the Congress,Janet L. Yellen,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20170222a.pdf,2017-02-22,The Economic Outlook and Monetary Policy,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,Forecasters Club of New York Luncheon,"New York, New York",0,0,0
